,County,City_id,tax_rate,lat,lng,location,COUNTY_CODE,SummativeRating,SummativeScore
0,ATLANTIC,112,2.823782609,39.4431,-74.61701364,"[39.443099999999994, -74.61701363636365]",1,31.64016949,37.06915254
1,BERGEN,235.5,2.295671429,40.92987705,-74.04464262,"[40.929877049180334, -74.04464262295082]",3,69.27294372,64.97935065
2,BURLINGTON,320.5,2.74475,39.98640556,-74.76062222,"[39.98640555555555, -74.76062222222222]",5,45.2315,46.8643
3,CAMDEN,419,3.90727027,39.8663675,-75.0303475,"[39.8663675, -75.03034749999998]",7,39.01705426,41.72379845
4,CAPE MAY,508.5,1.27775,39.05300909,-74.83048636,"[39.053009090909086, -74.83048636363637]",9,33.19409091,38.47136364
5,CUMBERLAND,607.5,3.165428571,39.40166,-75.14281,"[39.40166, -75.14281000000001]",11,18.81473684,26.44684211
6,ESSEX,711.5,2.950909091,40.80367273,-74.23671818,"[40.80367272727273, -74.23671818181819]",13,44.5273262,46.06614973
7,GLOUCESTER,812.5,3.516208333,39.75397368,-75.14989474,"[39.753973684210536, -75.1498947368421]",15,44.75411765,46.80264706
8,HUDSON,906.5,2.074333333,40.75011,-74.07581,"[40.75011, -74.07581]",17,43.17176471,46.07901961
9,HUNTERDON,1013.5,2.679115385,40.58042727,-74.9402,"[40.58042727272727, -74.94019999999999]",19,61.64925,58.4345
10,MERCER,1107.166667,3.030166667,40.26576923,-74.67112308,"[40.26576923076924, -74.67112307692308]",21,45.80394737,47.01184211
11,MIDDLESEX,1213,2.58844,40.45995429,-74.39999714,"[40.45995428571429, -74.39999714285713]",23,50.36576923,50.82987179
12,MONMOUTH,1327,1.889886792,40.2856,-74.1023807,"[40.2856, -74.10238070175441]",25,56.04831081,54.92135135
13,MORRIS,1420,2.309717949,40.88611905,-74.51422381,"[40.886119047619054, -74.5142238095238]",27,71.873125,66.5065625
14,OCEAN,1517,1.809454545,39.89861395,-74.21142791,"[39.898613953488365, -74.21142790697675]",29,37.42680412,42.08938144
15,PASSAIC,1608.5,3.1260625,40.94945,-74.21388571,"[40.949450000000006, -74.21388571428572]",31,39.48130081,42.42284553
16,SALEM,1708,3.4664,39.62054286,-75.3546,"[39.620542857142866, -75.35459999999999]",33,39.46409091,41.55772727
17,SOMERSET,1811,2.338809524,40.52062647,-74.58056471,"[40.52062647058823, -74.58056470588235]",35,61.59166667,58.92763889
18,SUSSEX,1912.5,2.937625,41.09454667,-74.64102667,"[41.094546666666666, -74.64102666666666]",37,46.30216216,48.16216216
19,UNION,2011,3.613380952,40.65773846,-74.31702308,"[40.657738461538464, -74.31702307692309]",39,53.33048611,53.45118056
20,WARREN,2111.727273,3.016227273,40.79450937,-75.02623125,"[40.79450937499999, -75.02623125000001]",41,50.42242424,50.62030303
