County,tax_rate,SummativeRating,SummativeScore,lat,lng,location
ATLANTIC,2.823782608695653,31.640169491525416,37.06915254237288,39.443099999999994,-74.61701363636365,"(39.443099999999994, -74.61701363636365)"
BERGEN,2.29567142857145,69.27294372294372,64.97935064935065,40.929877049180334,-74.04464262295082,"(40.929877049180334, -74.04464262295082)"
BURLINGTON,2.7447500000000185,45.2315,46.8643,39.98640555555555,-74.76062222222222,"(39.98640555555555, -74.76062222222222)"
CAMDEN,3.907270270270222,39.017054263565896,41.72379844961241,39.8663675,-75.03034749999998,"(39.8663675, -75.03034749999998)"
CAPE MAY,1.2777500000000015,33.19409090909091,38.47136363636364,39.053009090909086,-74.83048636363637,"(39.053009090909086, -74.83048636363637)"
CUMBERLAND,3.165428571428577,18.81473684210527,26.44684210526316,39.40166,-75.14281000000001,"(39.40166, -75.14281000000001)"
ESSEX,2.9509090909090916,44.52732620320855,46.066149732620325,40.80367272727273,-74.23671818181819,"(40.80367272727273, -74.23671818181819)"
GLOUCESTER,3.5162083333333314,44.754117647058806,46.8026470588235,39.753973684210536,-75.1498947368421,"(39.753973684210536, -75.1498947368421)"
HUDSON,2.074333333333333,43.17176470588236,46.07901960784315,40.75011,-74.07581,"(40.75011, -74.07581)"
HUNTERDON,2.6791153846153892,61.649249999999995,58.4345,40.58042727272727,-74.94019999999999,"(40.58042727272727, -74.94019999999999)"
MERCER,3.0301666666666667,45.80394736842104,47.01184210526317,40.26576923076924,-74.67112307692308,"(40.26576923076924, -74.67112307692308)"
MIDDLESEX,2.588439999999995,50.365769230769224,50.829871794871806,40.45995428571429,-74.39999714285713,"(40.45995428571429, -74.39999714285713)"
MONMOUTH,1.8898867924528464,56.04831081081082,54.921351351351355,40.2856,-74.10238070175441,"(40.2856, -74.10238070175441)"
MORRIS,2.309717948717951,71.87312499999997,66.50656249999996,40.886119047619054,-74.5142238095238,"(40.886119047619054, -74.5142238095238)"
OCEAN,1.8094545454545563,37.42680412371133,42.08938144329896,39.898613953488365,-74.21142790697675,"(39.898613953488365, -74.21142790697675)"
PASSAIC,3.126062500000009,39.48130081300813,42.42284552845528,40.949450000000006,-74.21388571428572,"(40.949450000000006, -74.21388571428572)"
SALEM,3.4663999999999997,39.46409090909091,41.55772727272727,39.620542857142866,-75.35459999999999,"(39.620542857142866, -75.35459999999999)"
SOMERSET,2.3388095238095175,61.59166666666668,58.92763888888888,40.52062647058823,-74.58056470588235,"(40.52062647058823, -74.58056470588235)"
SUSSEX,2.9376249999999953,46.30216216216216,48.162162162162154,41.094546666666666,-74.64102666666666,"(41.094546666666666, -74.64102666666666)"
UNION,3.6133809523809544,53.33048611111113,53.45118055555556,40.657738461538464,-74.31702307692309,"(40.657738461538464, -74.31702307692309)"
WARREN,3.016227272727265,50.42242424242424,50.620303030303035,40.79450937499999,-75.02623125000001,"(40.79450937499999, -75.02623125000001)"
