county_name,police_dept,crime_type,count
ATLANTIC,ABSECON CITY PD,assault,181.8
ATLANTIC,ABSECON CITY PD,auto_theft,121.2
ATLANTIC,ABSECON CITY PD,burglary,339.3
ATLANTIC,ABSECON CITY PD,larceny,2472.1
ATLANTIC,ABSECON CITY PD,murder,0
ATLANTIC,ABSECON CITY PD,rape,24.2
ATLANTIC,ABSECON CITY PD,robbery,60.6
ATLANTIC,ATLANTIC CITY PD,assault,329.2
ATLANTIC,ATLANTIC CITY PD,auto_theft,177.7
ATLANTIC,ATLANTIC CITY PD,burglary,258.7
ATLANTIC,ATLANTIC CITY PD,larceny,1609.6
ATLANTIC,ATLANTIC CITY PD,murder,13.1
ATLANTIC,ATLANTIC CITY PD,rape,62.7
ATLANTIC,ATLANTIC CITY PD,robbery,214.3
ATLANTIC,BRIGANTINE PD,assault,33.7
ATLANTIC,BRIGANTINE PD,auto_theft,134.9
ATLANTIC,BRIGANTINE PD,burglary,224.8
ATLANTIC,BRIGANTINE PD,larceny,1135.3
ATLANTIC,BRIGANTINE PD,murder,11.2
ATLANTIC,BRIGANTINE PD,rape,0
ATLANTIC,BRIGANTINE PD,robbery,0
ATLANTIC,BUENA PD,assault,0
ATLANTIC,BUENA PD,auto_theft,68.1
ATLANTIC,BUENA PD,burglary,181.6
ATLANTIC,BUENA PD,larceny,408.6
ATLANTIC,BUENA PD,murder,0
ATLANTIC,BUENA PD,rape,0
ATLANTIC,BUENA PD,robbery,45.4
ATLANTIC,EGG HARBOR CITY PD,assault,120.1
ATLANTIC,EGG HARBOR CITY PD,auto_theft,168.2
ATLANTIC,EGG HARBOR CITY PD,burglary,504.6
ATLANTIC,EGG HARBOR CITY PD,larceny,1802
ATLANTIC,EGG HARBOR CITY PD,murder,0
ATLANTIC,EGG HARBOR CITY PD,rape,48.1
ATLANTIC,EGG HARBOR CITY PD,robbery,144.2
ATLANTIC,EGG HARBOR TWP PD,assault,53.1
ATLANTIC,EGG HARBOR TWP PD,auto_theft,50.8
ATLANTIC,EGG HARBOR TWP PD,burglary,138.6
ATLANTIC,EGG HARBOR TWP PD,larceny,1081.4
ATLANTIC,EGG HARBOR TWP PD,murder,6.9
ATLANTIC,EGG HARBOR TWP PD,rape,11.6
ATLANTIC,EGG HARBOR TWP PD,robbery,9.2
ATLANTIC,GALLOWAY TWP PD,assault,200.2
ATLANTIC,GALLOWAY TWP PD,auto_theft,35.6
ATLANTIC,GALLOWAY TWP PD,burglary,178.2
ATLANTIC,GALLOWAY TWP PD,larceny,641.7
ATLANTIC,GALLOWAY TWP PD,murder,0
ATLANTIC,GALLOWAY TWP PD,rape,2.7
ATLANTIC,GALLOWAY TWP PD,robbery,8.2
ATLANTIC,HAMILTON TWP PD,assault,56.9
ATLANTIC,HAMILTON TWP PD,auto_theft,64.4
ATLANTIC,HAMILTON TWP PD,burglary,163
ATLANTIC,HAMILTON TWP PD,larceny,1050
ATLANTIC,HAMILTON TWP PD,murder,0
ATLANTIC,HAMILTON TWP PD,rape,11.4
ATLANTIC,HAMILTON TWP PD,robbery,22.7
ATLANTIC,HAMMONTON PD,assault,139.8
ATLANTIC,HAMMONTON PD,auto_theft,48.9
ATLANTIC,HAMMONTON PD,burglary,216.6
ATLANTIC,HAMMONTON PD,larceny,859.5
ATLANTIC,HAMMONTON PD,murder,0
ATLANTIC,HAMMONTON PD,rape,0
ATLANTIC,HAMMONTON PD,robbery,0
ATLANTIC,LINWOOD CITY PD,assault,14.7
ATLANTIC,LINWOOD CITY PD,auto_theft,0
ATLANTIC,LINWOOD CITY PD,burglary,73.3
ATLANTIC,LINWOOD CITY PD,larceny,219.9
ATLANTIC,LINWOOD CITY PD,murder,0
ATLANTIC,LINWOOD CITY PD,rape,0
ATLANTIC,LINWOOD CITY PD,robbery,0
ATLANTIC,LONGPORT PD,assault,0
ATLANTIC,LONGPORT PD,auto_theft,0
ATLANTIC,LONGPORT PD,burglary,229.1
ATLANTIC,LONGPORT PD,larceny,687.3
ATLANTIC,LONGPORT PD,murder,0
ATLANTIC,LONGPORT PD,rape,0
ATLANTIC,LONGPORT PD,robbery,0
ATLANTIC,MARGATE PD,assault,66.2
ATLANTIC,MARGATE PD,auto_theft,66.2
ATLANTIC,MARGATE PD,burglary,347.4
ATLANTIC,MARGATE PD,larceny,1257.2
ATLANTIC,MARGATE PD,murder,0
ATLANTIC,MARGATE PD,rape,0
ATLANTIC,MARGATE PD,robbery,0
ATLANTIC,MULLICA TWP PD,assault,83.3
ATLANTIC,MULLICA TWP PD,auto_theft,33.3
ATLANTIC,MULLICA TWP PD,burglary,299.8
ATLANTIC,MULLICA TWP PD,larceny,915.9
ATLANTIC,MULLICA TWP PD,murder,0
ATLANTIC,MULLICA TWP PD,rape,0
ATLANTIC,MULLICA TWP PD,robbery,0
ATLANTIC,NORTHFIELD PD,assault,0
ATLANTIC,NORTHFIELD PD,auto_theft,48.1
ATLANTIC,NORTHFIELD PD,burglary,96.1
ATLANTIC,NORTHFIELD PD,larceny,480.5
ATLANTIC,NORTHFIELD PD,murder,0
ATLANTIC,NORTHFIELD PD,rape,0
ATLANTIC,NORTHFIELD PD,robbery,0
ATLANTIC,PLEASANTVILLE PD,assault,14.4
ATLANTIC,PLEASANTVILLE PD,auto_theft,86.5
ATLANTIC,PLEASANTVILLE PD,burglary,418.3
ATLANTIC,PLEASANTVILLE PD,larceny,413.5
ATLANTIC,PLEASANTVILLE PD,murder,9.6
ATLANTIC,PLEASANTVILLE PD,rape,4.8
ATLANTIC,PLEASANTVILLE PD,robbery,43.3
ATLANTIC,SOMERS POINT PD,assault,105.4
ATLANTIC,SOMERS POINT PD,auto_theft,57.5
ATLANTIC,SOMERS POINT PD,burglary,258.7
ATLANTIC,SOMERS POINT PD,larceny,1427.8
ATLANTIC,SOMERS POINT PD,murder,9.6
ATLANTIC,SOMERS POINT PD,rape,19.2
ATLANTIC,SOMERS POINT PD,robbery,57.5
ATLANTIC,SP: ATLANTIC COUNTY,assault,129.9
ATLANTIC,SP: ATLANTIC COUNTY,auto_theft,43.3
