,,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
COUNTY,CNTY/DIST CODE,DISTRICT,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE,EFFECTIVE
,,,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE,TAX RATE
,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC,0101,ABSECON CITY,2.953,3.030,3.060,3.200,3.200,3.190,3.140,3.010,2.690,2.393,2.054,1.935,1.990,2.059,2.207,2.263,2.778,2.746,2.905,2.919,3.096,3.188,3.076,3.137
ATLANTIC,0102,ATLANTIC CITY CITY,2.889,2.730,2.810,2.780,2.710,2.790,2.700,2.960,2.550,2.384,1.649,1.520,1.775,1.839,2.452,2.360,3.041,3.180,3.399,3.353,3.407,3.848,4.091,3.610
ATLANTIC,0103,BRIGANTINE CITY,2.576,2.580,2.610,2.560,2.370,2.190,1.970,1.640,1.450,1.267,1.039,1.011,1.065,1.170,1.275,1.388,1.589,1.659,1.634,1.663,1.726,1.725,1.688,1.647
ATLANTIC,0104,BUENA BORO,2.549,2.580,2.600,2.680,2.780,2.750,2.810,2.750,2.830,2.708,2.400,2.282,2.162,2.289,2.454,2.585,2.778,3.039,3.062,3.215,3.265,3.333,3.478,3.453
ATLANTIC,0105,BUENA VISTA TWP,2.044,2.030,2.130,2.140,2.360,2.380,2.390,2.320,2.400,2.339,2.094,1.926,1.741,1.846,2.040,2.164,2.259,2.367,2.492,2.511,2.684,2.709,2.779,2.823
ATLANTIC,0106,CORBIN CITY CITY,2.877,2.120,2.110,0.950,1.210,1.800,2.520,3.150,3.410,3.284,2.106,1.532,1.812,1.855,1.775,1.349,1.609,1.704,1.735,1.820,1.803,1.802,1.861,1.882
ATLANTIC,0107,EGG HARBOR CITY,3.646,3.530,3.620,3.590,3.640,3.700,3.690,3.450,3.360,2.984,2.480,2.345,2.407,2.602,2.961,3.443,3.644,3.934,4.503,4.318,4.396,4.787,4.755,4.867
ATLANTIC,0108,EGG HARBOR TWP,2.109,2.100,2.230,2.230,2.280,2.380,2.510,2.410,2.210,1.916,1.820,1.769,1.826,2.022,2.212,2.437,2.732,2.708,2.897,2.924,3.106,3.155,3.194,3.072
ATLANTIC,0109,ESTELL MANOR CITY,2.000,1.900,2.040,2.110,2.040,1.950,2.130,2.060,1.990,1.721,1.453,1.326,1.326,1.608,1.769,1.841,2.011,2.162,2.226,2.211,2.328,2.314,2.312,2.391
ATLANTIC,0110,FOLSOM BORO,2.128,2.080,2.190,2.180,2.200,1.950,1.990,2.040,1.750,1.657,1.544,1.423,1.382,1.409,1.593,1.605,1.793,1.786,1.947,2.004,2.004,2.048,2.036,2.068
ATLANTIC,0111,GALLOWAY TWP,2.517,2.550,2.600,2.640,2.700,2.690,2.710,2.510,2.260,2.058,1.796,1.707,1.764,1.909,2.055,2.194,2.448,2.794,2.748,2.824,2.998,3.013,2.998,2.928
