County,2020_tax_rate
ATLANTIC,2.823782608695653
BERGEN,2.29567142857145
BURLINGTON,2.7447500000000185
CAMDEN,3.907270270270222
CAPE MAY,1.2777500000000015
CUMBERLAND,3.165428571428577
ESSEX,2.9509090909090916
GLOUCESTER,3.5162083333333314
HUDSON,2.074333333333333
HUNTERDON,2.6791153846153892
MERCER,3.0301666666666667
MIDDLESEX,2.588439999999995
MONMOUTH,1.8898867924528464
MORRIS,2.309717948717951
OCEAN,1.8094545454545563
PASSAIC,3.126062500000009
SALEM,3.4663999999999997
SOMERSET,2.3388095238095175
SUSSEX,2.9376249999999953
UNION,3.6133809523809544
WARREN,3.016227272727265
