COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,GRADESPAN,PRINCIPAL_NAME,ADDRESS,CITY_STATE_ZIP,PHONE,EMAIL,WEBSITE,FACEBOOK,TWITTER,CountyCode_x,CountyName_x,DistrictCode_x,DistrictName_x,SchoolCode_x,SchoolName_x,StudentGroup,SummativeScore_x,CutOffScoreTargetedSupImp,Targeted_LowPerf,ELAProf_MetTarget,MathProf_MetTarget,Grad4YR_MetTarget,Grad5YR_MetTarget,ELAGrowth_MetStandard,MathGrowth_MetStandard,ELP_MetTarget,CA_MetAverage,Targeted_ConsUnderPerf,CountyCode_y,CountyName_y,DistrictCode_y,DistrictName_y,SchoolCode_y,SchoolName_y,SummativeRating,SummativeScore
01,ATLANTIC,0010,ABSECON CITY,050,EMMA C ATTALES,05-08,MR. BURNS,800 IRELAN AVENUE,ABSECON NJ 08201,(609)641-5375,KBURNS@ABSECONSCHOOLS.ORG,https://www.abseconschools.org/Domain/9,,,01,ATLANTIC,0010,ABSECON CITY,050,EMMA C ATTALES,Schoolwide,,N,No,Met Target†,Not Met,N,N,Met Standard,Met Standard,**,Met,No,01,ATLANTIC,0010,ABSECON CITY,050,EMMA C ATTALES,38.98,43.95
01,ATLANTIC,0010,ABSECON CITY,060,H ASHTON MARSH,PK-04,MR. GIARDINA,800 IRELAN AVE,ABSECON NJ 08201,(609)641-5375,JGIARDINA@ABSECONSCHOOLS.ORG,https://www.abseconschools.org/Domain/8,,,01,ATLANTIC,0010,ABSECON CITY,060,H ASHTON MARSH,Schoolwide,,N,No,Met Target,Met Target,N,N,Met Standard,Exceeds Standard,Met Target†,Met,No,01,ATLANTIC,0010,ABSECON CITY,060,H ASHTON MARSH,57.88,55.49
01,ATLANTIC,0110,ATLANTIC CITY,010,ATLANTIC CITY HIGH SCHOOL,09-12,MS. GIL,1400 N ALBANY AVENUE,ATLANTIC CITY NJ 08401-6153,(609)343-7300,LGIL@ACBOE.ORG,https://www.acboe.org/achs,,,01,ATLANTIC,0110,ATLANTIC CITY,010,ATLANTIC CITY HIGH SCHOOL,Schoolwide,,N,Yes,Not Met,Not Met,Met Target,Met Target,**,**,Not Met,Not Met,No,01,ATLANTIC,0110,ATLANTIC CITY,010,ATLANTIC CITY HIGH SCHOOL,6.3,12.33
01,ATLANTIC,0110,ATLANTIC CITY,030,SOVEREIGN AVENUE SCHOOL,PK-08,MS. PEYTON,3205 ARCTIC AVENUE,ATLANTIC CITY NJ 08401-3711,(609)343-7260,MPEYTON@ACBOE.ORG,https://www.acboe.org/sov,,,01,ATLANTIC,0110,ATLANTIC CITY,030,SOVEREIGN AVENUE SCHOOL,Schoolwide,,N,No,Met Target,Not Met,N,N,Met Standard,Met Standard,Met Target,Met,No,01,ATLANTIC,0110,ATLANTIC CITY,030,SOVEREIGN AVENUE SCHOOL,44.91,47.31
01,ATLANTIC,0110,ATLANTIC CITY,050,CHELSEA HEIGHTS SCHOOL,PK-08,MR. FLOOD,4101  FILBERT AVENUE,ATLANTIC CITY NJ 08401-1023,(609)343-7272,KFLOOD@ACBOE.ORG,https://www.acboe.org/ch,,,01,ATLANTIC,0110,ATLANTIC CITY,050,CHELSEA HEIGHTS SCHOOL,Schoolwide,,N,No,Not Met,Not Met,N,N,Met Standard,Met Standard,Met Target†,Not Met,No,01,ATLANTIC,0110,ATLANTIC CITY,050,CHELSEA HEIGHTS SCHOOL,26.6,35.53
01,ATLANTIC,0110,ATLANTIC CITY,060,TEXAS AVENUE SCHOOL,KG-08,DR. HYMAN,2523 ARCTIC AVENUE,ATLANTIC CITY NJ 08401-3901,(609)343-7350,SSTEWART@ACBOE.ORG,https://www.acboe.org/tex,,,01,ATLANTIC,0110,ATLANTIC CITY,060,TEXAS AVENUE SCHOOL,Schoolwide,,N,No,Not Met,Not Met,N,N,Met Standard,Met Standard,Met Target†,Met,No,01,ATLANTIC,0110,ATLANTIC CITY,060,TEXAS AVENUE SCHOOL,21.15,31.79
01,ATLANTIC,0110,ATLANTIC CITY,070,NEW YORK AVENUE SCHOOL,PK-08,MR. KNOX,411 N NEW YORK AVENUE,ATLANTIC CITY NJ 08401,(609)343-7280,JKNOX@ACBOE.ORG,https://www.acboe.org/ny,,,01,ATLANTIC,0110,ATLANTIC CITY,070,NEW YORK AVENUE SCHOOL,Schoolwide,,N,Yes,Not Met,Not Met,N,N,Not Met,Met Standard,Met Target†,Not Met,No,01,ATLANTIC,0110,ATLANTIC CITY,070,NEW YORK AVENUE SCHOOL,2.78,10.96
01,ATLANTIC,0110,ATLANTIC CITY,080,UPTOWN SCHOOL COMPLEX,PK-08,MR. ROSE,323 MADISON AVENUE,ATLANTIC CITY NJ 08401-5417,(609)344-8809,AROSE@ACBOE.ORG,https://www.acboe.org/upt,,,01,ATLANTIC,0110,ATLANTIC CITY,080,UPTOWN SCHOOL COMPLEX,Schoolwide,,N,Yes,Not Met,Not Met,N,N,Not Met,Met Standard,Not Met,Not Met,No,01,ATLANTIC,0110,ATLANTIC CITY,080,UPTOWN SCHOOL COMPLEX,1.42,7.82
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,PK-08,DR. SMALL,201 N. PENNSYLVANIA AVENUE,ATLANTIC CITY NJ 08401-5235,(609)343-7290,LSMALL@ACBOE.ORG,https://www.acboe.org/pas,,,01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,Schoolwide,,N,Yes,Not Met,Not Met,N,N,Not Met,Not Met,Met Target,Not Met,Yes,01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,2.43,10.17
01,ATLANTIC,0110,ATLANTIC CITY,120,RICHMOND AVENUE SCHOOL,PK-08,MS. WILLIAMS,4115 VENTNOR AVENUE,ATLANTIC CITY NJ 08401-5860,(609)343-7250,SHWILLIAMS@ACBOE.ORG,https://www.acboe.org/rich,,,01,ATLANTIC,0110,ATLANTIC CITY,120,RICHMOND AVENUE SCHOOL,Schoolwide,,N,No,Met Target,Met Target,N,N,Met Standard,Met Standard,Met Target,Met,No,01,ATLANTIC,0110,ATLANTIC CITY,120,RICHMOND AVENUE SCHOOL,48.05,49.3
01,ATLANTIC,0110,ATLANTIC CITY,140,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,PK-08,MRS. BURROUGHS,1700 MARMORA AVENUE,ATLANTIC CITY NJ 08401,(609)343-7380,JBURROUGHS@ACBOE.ORG,https://www.acboe.org/mlk,,,01,ATLANTIC,0110,ATLANTIC CITY,140,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,Schoolwide,,N,No,Met Target†,Not Met,N,N,Met Standard,Met Standard,Met Target†,Not Met,No,01,ATLANTIC,0110,ATLANTIC CITY,140,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,9.66,21.49
01,ATLANTIC,0110,ATLANTIC CITY,300,BRIGHTON AVENUE SCHOOL,PK-05,MRS. BULLOCK-FERNANDES,30 N. BRIGHTON AVENUE,ATLANTIC CITY NJ 08401,(609)343-3150,DFERNANDES@ACBOE.ORG,https://www.acboe.org/bri,,,01,ATLANTIC,0110,ATLANTIC CITY,300,BRIGHTON AVENUE SCHOOL,Schoolwide,,N,No,Met Target,Met Target,N,N,Met Standard,Met Standard,Met Target†,Not Met,No,01,ATLANTIC,0110,ATLANTIC CITY,300,BRIGHTON AVENUE SCHOOL,30.21,37.82
